"aou","max_lat_t1","max_lon_t1","min_lat_t1","min_lon_t1","total_cells_t1","area_t1","outlier_t1","outlier_denom_t1","max_lat_t2","max_lon_t2","min_lat_t2","min_lon_t2","total_cells_t2","area_t2","outlier_t2","outlier_denom_t2","file","spp_name","file_binomial","english_common_name","family","genus","species","binomial","old_genus","new_binomial","matched_filename","species_code","overlap","overlap_cells","delta_area","delta_occ"
2890,44,-70,26,-104,209,2546486239250.12,13704508563.8528,3760142398739.47,43,-76,26,-104,135,2263680121914.42,0.00530484318733215,3746437890191.28,"Colinus_virginianus_22728956.shp","Colinus_virginianus","Colinus virginianus","Northern Bobwhite","Odontophoridae","Colinus","virginianus","Colinus virginianus",NA,NA,"Colinus_virginianus",NA,0.858395838306132,220,-0.111057390759347,-0.336363636363636
3160,53,-69,26,-124,347,21106806251104,21383402458455.2,95288717317831.6,53,-62,26,-124,366,21192933624360.2,21621626974659.9,95831136112355.1,"Zenaida_macroura_22690736.shp","Zenaida_macroura","Zenaida macroura","Mourning Dove","Columbidae","Zenaida","macroura","Zenaida macroura",NA,NA,"Zenaida_macroura",NA,0.753224829253319,1014,0.0040805497635017,0.0187376725838264
3940,53,-62,27,-124,233,5037526723327.54,5237811372506.88,23540631429015.3,54,-64,27,-124,228,8375775667833.47,8697482642604.55,45145398108440.1,"Dryobates_pubescens_22681155.shp","Dryobates_pubescens","Dryobates pubescens","Downy Woodpecker","Picidae","Picoides","pubescens","Picoides pubescens","Dryobates","Dryobates pubescens","Dryobates_pubescens",NA,0.699294442217263,678,0.662676175800186,-0.00737463126843658
4050,49,-71,27,-124,117,2281609801604.42,0.00128769874572754,4677325227580.83,NA,NA,NA,NA,NA,NA,NA,NA,"Hylatomus_pileatus_22681363.shp","Hylatomus_pileatus","Hylatomus pileatus","Pileated Woodpecker","Picidae","Dryocopus","pileatus","Dryocopus pileatus","Hylatomus","Hylatomus pileatus","Hylatomus_pileatus",NA,0.789305771553097,226,NA,NA
4090,45,-74,27,-100,171,2282634046343.68,76040696731.2599,3120767596420.15,47,-70,27,-100,219,5295843647371.48,211989447677.365,6301443229854.05,"Melanerpes_carolinus_22680856.shp","Melanerpes_carolinus","Melanerpes carolinus","Red-bellied Woodpecker","Picidae","Melanerpes","carolinus","Melanerpes carolinus",NA,NA,"Melanerpes_carolinus",NA,0.990425059365452,211,1.32005811700493,0.227488151658768
4120,52,-62,27,-124,311,81131082163139.7,243041870844733,1414963176747748,53,-62,29,-124,250,55693050427985.9,166108211990124,1009279591564750,"Colaptes_auratus_22726404.shp","Colaptes_auratus","Colaptes auratus","(Yellow-shafted Flicker) Northern Flicker","Picidae","Colaptes","auratus auratus","Colaptes auratus",NA,NA,"Colaptes_auratus",NA,0.622331208489158,402,-0.313542369421408,-0.151741293532338
4230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chaetura_pelagica_22686709.shp","Chaetura_pelagica","Chaetura pelagica","Chimney Swift","Apodidae","Chaetura","pelagica","Chaetura pelagica",NA,NA,"Chaetura_pelagica",NA,0.515667597478663,599,NA,NA
4520,52,-70,27,-101,245,3286180126440.4,138001333240.853,5090761665223.01,50,-69,27,-100,230,3422206711037.26,155167357972.713,5107906717858.39,"Myiarchus_crinitus_22700433.shp","Myiarchus_crinitus","Myiarchus crinitus","Great Crested Flycatcher","Tyrannidae","Myiarchus","crinitus","Myiarchus crinitus",NA,NA,"Myiarchus_crinitus",NA,0.742450315060081,298,0.0413935266367189,-0.0503355704697987
4650,43,-75,30,-100,79,1649253383472.37,0.00427129864692688,3006134676437.75,NA,NA,NA,NA,NA,NA,NA,NA,"Empidonax_virescens_22699842.shp","Empidonax_virescens","Empidonax virescens","Acadian Flycatcher","Tyrannidae","Empidonax","virescens","Empidonax virescens",NA,NA,"Empidonax_virescens",NA,0.614964133126547,429,NA,NA
4770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cyanocitta_cristata_22705611.shp","Cyanocitta_cristata","Cyanocitta cristata","Blue Jay","Corvidae","Cyanocitta","cristata","Cyanocitta cristata",NA,NA,"Cyanocitta_cristata",NA,0.894675072136462,614,NA,NA
4880,54,-62,27,-129,322,26000109720444.4,27367426534739,135008274965626,54,-62,27,-129,325,27034594651899.5,28462635051598.7,136226329312557,"Corvus_brachyrhynchos_22705990.shp","Corvus_brachyrhynchos","Corvus brachyrhynchos","American Crow","Corvidae","Corvus","brachyrhynchos","Corvus brachyrhynchos",NA,NA,"Corvus_brachyrhynchos","amecro",0.766283328250926,646,0.039787714074208,0.00464396284829721
4950,53,-62,27,-124,346,29046550538211.6,29879750575399.9,144738407487934,54,-69,26,-124,331,36592297989336,37056710627951.4,188908545044551,"Molothrus_ater_22724354.shp","Molothrus_ater","Molothrus ater","Brown-headed Cowbird","Icteridae","Molothrus","ater","Molothrus ater",NA,NA,"Molothrus_ater","bnhcow",0.788765425648726,916,0.259781189549433,-0.0163755458515284
4980,53,-62,26,-124,358,35577179602168.1,36430686777647.8,196194116190842,54,-62,26,-124,336,35291425313536.4,36073771750590.6,195694879676924,"Agelaius_phoeniceus_22724191.shp","Agelaius_phoeniceus","Agelaius phoeniceus","Red-winged Blackbird","Icteridae","Agelaius","phoeniceus","Agelaius phoeniceus",NA,NA,"Agelaius_phoeniceus","rewbla",0.703378384205915,1291,-0.00803195452329298,-0.0170410534469404
5010,47,-65,26,-107,258,16127735501391.4,17763318871680.5,83956042709745.6,47,-76,26,-107,208,20325855854761.6,22502683159377.7,121237972280327,"Sturnella_magna_22735434.shp","Sturnella_magna","Sturnella magna","Eastern Meadowlark","Icteridae","Sturnella","magna","Sturnella magna",NA,NA,"Sturnella_magna","easmea",0.611508269913756,666,0.260304390099157,-0.0750750750750751
5060,50,-74,29,-103,162,5147548969270.21,5217217306939.87,22652279389636.7,50,-75,29,-104,160,6412216352609.24,6568013444459.34,24175119192216.6,"Icterus_spurius_22724134.shp","Icterus_spurius","Icterus spurius","Orchard Oriole","Icteridae","Icterus","spurius","Icterus spurius",NA,NA,"Icterus_spurius","orcori",0.65370257258234,1013,0.245683409888635,-0.00197433366238894
5110,53,-62,27,-113,317,14739700833952.1,16253076939866.7,74751037014457.8,NA,NA,NA,NA,NA,NA,NA,NA,"Quiscalus_quiscula_22724320.shp","Quiscalus_quiscula","Quiscalus quiscula","Common Grackle","Icteridae","Quiscalus","quiscula","Quiscalus quiscula",NA,NA,"Quiscalus_quiscula","comgra",0.84865579919672,770,NA,NA
5460,50,-74,27,-124,164,9450103120044.23,10138152187621.4,51409634673796.8,48,-75,31,-124,107,7073890733825.12,8470683383450.75,31211960871641.8,"Ammodramus_savannarum_22721144.shp","Ammodramus_savannarum","Ammodramus savannarum","Grasshopper Sparrow","Emberizidae","Ammodramus","savannarum","Ammodramus savannarum",NA,NA,"Ammodramus_savannarum","graspa",0.739494998494809,397,-0.251448302313127,-0.143576826196474
5600,53,-62,30,-124,245,24922582925829.4,27877292762182.1,138132509128175,NA,NA,NA,NA,NA,NA,NA,NA,"Spizella_passerina_22721162.shp","Spizella_passerina","Spizella passerina","Chipping Sparrow","Emberizidae","Spizella","passerina","Spizella passerina",NA,NA,"Spizella_passerina","chispa",0.65400878354677,1599,NA,NA
5630,48,-70,30,-104,200,51150730017618.3,360395014860918,3117145851581649,47,-70,30,-105,166,46132303633491.4,325347890526845,2872468420320176,"Spizella_pusilla_22721179.shp","Spizella_pusilla","Spizella pusilla","Field Sparrow","Emberizidae","Spizella","pusilla","Spizella pusilla",NA,NA,"Spizella_pusilla","fiespa",0.975676758965983,2445,-0.0981105525258067,-0.0139059304703476
5870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pipilo_erythrophthalmus_22721310.shp","Pipilo_erythrophthalmus","Pipilo erythrophthalmus","Eastern Towhee","Emberizidae","Pipilo","erythrophthalmus","Pipilo erythrophthalmus",NA,NA,"Pipilo_erythrophthalmus","eastow",0.991530882151112,451,NA,NA
5930,46,-70,26,-110,245,3108003254863.86,131362312417.536,4813431472476.04,46,-65,26,-110,270,3331792030511.85,210719693108.604,4892788814759.65,"Cardinalis_cardinalis_22723819.shp","Cardinalis_cardinalis","Cardinalis cardinalis","Northern Cardinal","Cardinalidae","Cardinalis","cardinalis","Cardinalis cardinalis",NA,NA,"Cardinalis_cardinalis","norcar",0.800177305561474,526,0.0720040351623742,0.0475285171102662
5970,44,-75,27,-114,130,2823137753214.45,159328828983.81,4212521699527.09,44,-75,26,-114,149,3600149594673.44,592708277756.895,4645880964579.03,"Passerina_caerulea_22723939.shp","Passerina_caerulea","Passerina caerulea","Blue Grosbeak","Cardinalidae","Passerina","caerulea","Passerina caerulea",NA,NA,"Passerina_caerulea","blugrb1",0.627131151112328,732,0.275229871646995,0.0259562841530055
5980,52,-71,30,-101,233,18559164721527.3,37926424095278.5,183451385212817,47,-71,30,-100,226,17705813498645.5,36116541232393,179521538797331,"Passerina_cyanea_22723951.shp","Passerina_cyanea","Passerina cyanea","Indigo Bunting","Cardinalidae","Passerina","cyanea","Passerina cyanea",NA,NA,"Passerina_cyanea","indbun",0.793538431695038,3224,-0.0459800446672015,-0.0021712158808933
6040,NA,NA,NA,NA,NA,NA,NA,NA,45,-83,26,-104,130,2240996646814.07,93452024384.1404,3555716889083.87,"Spiza_americana_22723796.shp","Spiza_americana","Spiza americana","Dickcissel","Cardinalidae","Spiza","americana","Spiza americana",NA,NA,"Spiza_americana","dickci",0.633483738280696,451,NA,NA
6310,42,-73,27,-100,113,6779267361270.32,13607266452072.4,78169774973406.4,41,-75,26,-101,125,11634565757338.4,23378320271188.2,123293769936008,"Vireo_griseus_22705188.shp","Vireo_griseus","Vireo griseus","White-eyed Vireo","Vireonidae","Vireo","griseus","Vireo griseus",NA,NA,"Vireo_griseus",NA,0.798896626992263,720,0.716198098898747,0.0166666666666667
6370,39,-76,30,-95,41,934860978546.719,0.00789861381053925,2172644293388.81,39,-76,30,-97,26,870213801150.173,87847497485.5106,2260492199395.5,"Protonotaria_citrea_22721765.shp","Protonotaria_citrea","Protonotaria citrea","Prothonotary Warbler","Parulidae","Protonotaria","citrea","Protonotaria citrea",NA,NA,"Protonotaria_citrea","prowar",0.603435715623709,361,-0.0691516480846623,-0.0415512465373961
6710,47,-71,27,-96,69,5719051432898.5,7818654091206.9,43700877062667.9,47,-65,28,-96,102,9656093289640.28,14553225483208.2,48109792684450.9,"Dendroica_pinus_22721719.shp","Dendroica_pinus","Dendroica pinus","Pine Warbler","Parulidae","Setophaga","pinus","Setophaga pinus","Dendroica","Dendroica pinus","Dendroica_pinus","pinwar",0.959003182278587,198,0.688408191976416,0.166666666666667
6730,42,-71,31,-95,72,961465512435.827,1149957834443.99,4599303608346.03,43,-71,31,-95,56,1087402579152.33,1318298263527.51,4852445912164.52,"Dendroica_discolor_22721725.shp","Dendroica_discolor","Dendroica discolor","Prairie Warbler","Parulidae","Setophaga","discolor","Setophaga discolor","Dendroica","Dendroica discolor","Dendroica_discolor","prawar",0.870063135325875,195,0.130984486793964,-0.0820512820512821
6810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geothlypis_trichas_22721836.shp","Geothlypis_trichas","Geothlypis trichas","Common Yellowthroat","Parulidae","Geothlypis","trichas","Geothlypis trichas",NA,NA,"Geothlypis_trichas","comyel",0.656809912805208,743,NA,NA
6830,47,-75,30,-124,128,3810409326881.59,0.000914812088012695,5603212778390.37,NA,NA,NA,NA,NA,NA,NA,NA,"Icteria_virens_22722057.shp","Icteria_virens","Icteria virens","Yellow-breasted Chat","Parulidae","Icteria","virens","Icteria virens",NA,NA,"Icteria_virens","yebcha",0.735308274917353,531,NA,NA
7030,43,-70,26,-122,201,3671517781831.47,0.00287711620330811,8385905852194.52,43,-72,26,-122,201,3216235761656.79,0.00287711620330811,8385905852194.52,"Mimus_polyglottos_22711026.shp","Mimus_polyglottos","Mimus polyglottos","Northern Mockingbird","Mimidae","Mimus","polyglottos","Mimus polyglottos",NA,NA,"Mimus_polyglottos","normoc",0.811781960978807,692,-0.124003762811023,0
7040,53,-62,31,-120,236,12036046727031.9,12452443021583.1,67164713578560.5,53,-65,31,-120,202,11830384179909.9,12225769728529.2,66896018790011.2,"Dumetella_carolinensis_22711013.shp","Dumetella_carolinensis","Dumetella carolinensis","Gray Catbird","Mimidae","Dumetella","carolinensis","Dumetella carolinensis",NA,NA,"Dumetella_carolinensis","grycat",0.856580486034694,1051,-0.0170872174050436,-0.0323501427212179
7050,52,-65,27,-109,268,15028163036960.5,15448569343706.5,83319601971539.7,50,-69,28,-111,224,13301156204503.1,13558463519556.1,81103298163059.3,"Toxostoma_rufum_22711099.shp","Toxostoma_rufum","Toxostoma rufum","Brown Thrasher","Mimidae","Toxostoma","rufum","Toxostoma rufum",NA,NA,"Toxostoma_rufum","brnthr",0.982792317403858,685,-0.114918026122683,-0.0642335766423358
7180,42,-74,27,-100,125,1635839196768.6,0.00172066688537598,2867836564158.99,43,-70,27,-100,165,2085353493177.93,18175644959.7337,2886012209127.64,"Thryothorus_ludovicianus_22711450.shp","Thryothorus_ludovicianus","Thryothorus ludovicianus","Carolina Wren","Troglodytidae","Thryothorus","ludovicianus","Thryothorus ludovicianus",NA,NA,"Thryothorus_ludovicianus","carwre",0.892118945576927,190,0.274791249223823,0.210526315789474
7310,43,-70,28,-98,169,2053943553996.4,0.00284446775913239,2962034884240.52,45,-70,28,-100,188,2276515748802.22,9230482217.4751,2971265365313.85,"Baeolophus_bicolor_22711983.shp","Baeolophus_bicolor","Baeolophus bicolor","Tufted Titmouse","Paridae","Baeolophus","bicolor","Baeolophus bicolor",NA,NA,"Baeolophus_bicolor","tuftit",0.997414692324632,202,0.108363345415582,0.0940594059405941
7360,40,-74,28,-100,133,1567166468172.63,26583104133.1118,2339277424703.25,41,-74,28,-100,135,1584293381565,0.0017235279083252,2312694524491.22,"Parus_carolinensis_22711708.shp","Parus_carolinensis","Parus carolinensis","Carolina Chickadee","Paridae","Poecile","carolinensis","Poecile carolinensis","Parus","Parus carolinensis","Parus_carolinensis","carchi",1,143,0.010928585916171,0.013986013986014
7510,45,-75,28,-123,109,8455287841463.12,8889177895264.99,49099104888341.9,46,-71,28,-123,138,10784996022717.8,11595359668579.7,52558158871991,"Polioptila_caerulea_22711581.shp","Polioptila_caerulea","Polioptila caerulea","Blue-gray Gnatcatcher","Polioptilidae","Polioptila","caerulea","Polioptila caerulea",NA,NA,"Polioptila_caerulea","buggna",0.693654349912791,279,0.275532687347471,0.103942652329749
7550,48,-65,31,-96,177,2241563454200.14,0.00265669822692871,3480774351370.53,NA,NA,NA,NA,NA,NA,NA,NA,"Hylocichla_mustelina_22708670.shp","Hylocichla_mustelina","Hylocichla mustelina","Wood Thrush","Turdidae","Hylocichla","mustelina","Hylocichla mustelina",NA,NA,"Hylocichla_mustelina","woothr",0.790443782998674,594,NA,NA
7610,54,-62,31,-129,313,32787976134850.7,33641190908910.1,183455975091178,54,-62,31,-129,308,34242080218741,35205990546811.5,185242339755913,"Turdus_migratorius_22708958.shp","Turdus_migratorius","Turdus migratorius","American Robin","Turdidae","Turdus","migratorius","Turdus migratorius",NA,NA,"Turdus_migratorius","amerob",0.558527695636409,1035,0.0443486989837348,-0.00483091787439614
7660,50,-71,27,-100,156,7896043856129.76,8126771068545.39,46578832418407.2,NA,NA,NA,NA,NA,NA,NA,NA,"Sialia_sialis_22708550.shp","Sialia_sialis","Sialia sialis","Eastern Bluebird","Turdidae","Sialia","sialis","Sialia sialis",NA,NA,"Sialia_sialis","easblu",0.856892777655436,973,NA,NA
6080,48,-66,33,-95,110,1779552795701.82,195027185787.328,2791831983500.1,48,-69,33,-95,100,1514635754864.4,110842527939.477,2707577567274.35,"Piranga_olivacea_22722466.shp","Piranga_olivacea","Piranga olivacea","Scarlet Tanager","Cardinalidae","Piranga","olivacea","Piranga olivacea",NA,NA,"Piranga_olivacea","scatan",0.562100766085273,649,-0.148867199375757,-0.0154083204930663
4560,53,-66,29,-113,172,11806414244329.5,12151651623380.9,68196670006028.3,NA,NA,NA,NA,NA,NA,NA,NA,"Sayornis_phoebe_22699886.shp","Sayornis_phoebe","Sayornis phoebe","Eastern Phoebe","Tyrannidae","Sayornis","phoebe","Sayornis phoebe",NA,NA,"Sayornis_phoebe",NA,0.688646782831186,1038,NA,NA
5810,54,-62,34,-129,203,10496872446890.8,11409737981682.5,70953177260866.6,54,-62,33,-129,218,25086053244972.1,26125211042244,143638943083146,"Melospiza_melodia_22721058.shp","Melospiza_melodia","Melospiza melodia","Song Sparrow","Emberizidae","Melospiza","melodia","Melospiza melodia",NA,NA,"Melospiza_melodia","sonspa",0.749587221103233,825,1.38985977698553,0.0181818181818182
6220,50,-77,27,-121,146,13527334092860.1,13674773583861,73559533563227,48,-77,26,-121,67,6566152429944.03,6755092406571.68,36927911839771.9,"Lanius_ludovicianus_22705042.shp","Lanius_ludovicianus","Lanius ludovicianus","Loggerhead Shrike","Laniidae","Lanius","ludovicianus","Lanius ludovicianus",NA,NA,"Lanius_ludovicianus",NA,0.813559110081921,440,-0.514601148691247,-0.179545454545455
6480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parula_americana_22721639.shp","Parula_americana","Parula americana","Northern Parula","Parulidae","Setophaga","americana","Setophaga americana","Parula","Parula americana","Parula_americana","norpar",0.856376284769189,640,NA,NA
7290,NA,NA,NA,NA,NA,NA,NA,NA,38,-76,30,-96,22,1044554870741.48,56334054744.346,1925187079905.32,"Sitta_pusilla_22711173.shp","Sitta_pusilla","Sitta pusilla","Brown-headed Nuthatch","Sittidae","Sitta","pusilla","Sitta pusilla",NA,NA,"Sitta_pusilla","bnhnut",0.992630459412332,56,NA,NA
4060,50,-77,27,-104,152,9667695283760.37,9863975367159.45,53801402232142.3,49,-76,29,-104,117,9124513440038.29,9191286447302.64,47426590822488.1,"Melanerpes_erythrocephalus_22680810.shp","Melanerpes_erythrocephalus","Melanerpes erythrocephalus","Red-headed Woodpecker","Picidae","Melanerpes","erythrocephalus","Melanerpes erythrocephalus",NA,NA,"Melanerpes_erythrocephalus",NA,0.996599058284916,330,-0.0561852466155514,-0.106060606060606
5290,53,-62,32,-124,246,17685832270908.3,18701255605018.6,106107540849512,54,-62,32,-124,253,18518821457509.6,19221512677556.5,106002392127647,"Carduelis_tristis_22720407.shp","Carduelis_tristis","Carduelis tristis","American Goldfinch","Fringillidae","Spinus","tristis","Spinus tristis","Carduelis","Carduelis tristis","Carduelis_tristis","amegfi",0.897678464601425,1084,0.0470992359218253,0.00645756457564576
6280,48,-71,28,-99,97,2122350972853.82,12472469138.2034,3179802581498.01,NA,NA,NA,NA,NA,NA,NA,NA,"Vireo_flavifrons_22705237.shp","Vireo_flavifrons","Vireo flavifrons","Yellow-throated Vireo","Vireonidae","Vireo","flavifrons","Vireo flavifrons",NA,NA,"Vireo_flavifrons",NA,0.672071095059592,262,NA,NA
6170,49,-71,27,-124,152,12397691590265.5,13031136823472.8,49227967300819,50,-73,31,-124,126,11140506658587.9,11454358765011.9,47012003016610.7,"Stelgidopteryx_serripennis_22735128.shp","Stelgidopteryx_serripennis","Stelgidopteryx serripennis","Northern Rough-winged Swallow","Hirundinidae","Stelgidopteryx","serripennis","Stelgidopteryx serripennis",NA,NA,"Stelgidopteryx_serripennis","nrwswa",0.770062176118241,351,-0.101404759307348,-0.0740740740740741
6840,42,-77,29,-96,50,890299707478.66,0.000133216381072998,2007300036957.58,43,-75,30,-95,60,1051612147143.73,0.00101298093795776,2007300036957.58,"Wilsonia_citrina_22721876.shp","Wilsonia_citrina","Wilsonia citrina","Hooded Warbler","Parulidae","Setophaga","citrina","Setophaga citrina","Wilsonia","Wilsonia citrina","Wilsonia_citrina","hoowar",0.696005421555393,308,0.18118891684454,0.0324675324675325
4280,NA,NA,NA,NA,NA,NA,NA,NA,47,-65,31,-98,96,2021223749740.26,0.00569462776184082,4755264748988.77,"Archilochus_colubris_22688193.shp","Archilochus_colubris","Archilochus colubris","Ruby-throated Hummingbird","Trochilidae","Archilochus","colubris","Archilochus colubris",NA,NA,"Archilochus_colubris",NA,0.73206635644926,630,NA,NA
6630,40,-75,28,-96,43,3066871292765.29,3216041387492.04,18917099368221.9,40,-77,30,-95,38,2166598041048.77,2321292924717.54,10332056790993.5,"Dendroica_dominica_22724793.shp","Dendroica_dominica","Dendroica dominica","Yellow-throated Warbler","Parulidae","Setophaga","dominica","Setophaga dominica","Dendroica","Dendroica dominica","Dendroica_dominica","yetwar",0.631953100810559,400,-0.293547777450019,-0.0125
3930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leuconotopicus_villosus_22681166.shp","Leuconotopicus_villosus","Leuconotopicus villosus","Hairy Woodpecker","Picidae","Picoides","villosus","Picoides villosus","Leuconotopicus","Leuconotopicus villosus","Leuconotopicus_villosus",NA,0.647823540429967,666,NA,NA
6740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seiurus_aurocapilla_22721779.shp","Seiurus_aurocapilla","Seiurus aurocapilla","Ovenbird","Parulidae","Seiurus","aurocapilla","Seiurus aurocapilla",NA,NA,"Seiurus_aurocapilla","ovenbi1",0.661664543696424,719,NA,NA
6360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mniotilta_varia_22721758.shp","Mniotilta_varia","Mniotilta varia","Black-and-white Warbler","Parulidae","Mniotilta","varia","Mniotilta varia",NA,NA,"Mniotilta_varia","bawwar",0.582508114226756,745,NA,NA
6390,39,-75,31,-96,18,854350807064.471,0.00681078433990479,1754178402752.17,42,-73,34,-93,19,649427686363.187,0.0057978630065918,1754178402683.7,"Helmitheros_vermivorum_22721768.shp","Helmitheros_vermivorum","Helmitheros vermivorum","Worm-eating Warbler","Parulidae","Helmitheros","vermivorum","Helmitheros vermivorum",NA,NA,"Helmitheros_vermivorum","woewar1",0.641070032124495,300,-0.239858286557245,0.00333333333333333
