"file","spp_name","file_binomial","aou","english_common_name","family","genus","species","binomial","old_genus","new_binomial","matched_filename","species_code","overlap","range_excl"
"Ortalis_vetula_22678305.shp","Ortalis_vetula","Ortalis vetula",3110,"Plain Chachalaca","Cracidae","Ortalis","vetula","Ortalis vetula",NA,NA,"Ortalis_vetula",NA,2,0.96078431372549
"Oreortyx_pictus_22679591.shp","Oreortyx_pictus","Oreortyx pictus",2920,"Mountain Quail","Odontophoridae","Oreortyx","pictus","Oreortyx pictus",NA,NA,"Oreortyx_pictus",NA,8,0.794871794871795
"Colinus_virginianus_22728956.shp","Colinus_virginianus","Colinus virginianus",2890,"Northern Bobwhite","Odontophoridae","Colinus","virginianus","Colinus virginianus",NA,NA,"Colinus_virginianus",NA,221,0.488425925925926
"Callipepla_squamata_22679594.shp","Callipepla_squamata","Callipepla squamata",2930,"Scaled Quail","Odontophoridae","Callipepla","squamata","Callipepla squamata",NA,NA,"Callipepla_squamata",NA,19,0.852713178294574
"Callipepla_californica_22679603.shp","Callipepla_californica","Callipepla californica",2940,"California Quail","Odontophoridae","Callipepla","californica","Callipepla californica",NA,NA,"Callipepla_californica",NA,18,0.848739495798319
"Callipepla_gambelii_22679609.shp","Callipepla_gambelii","Callipepla gambelii",2950,"Gambel's Quail","Odontophoridae","Callipepla","gambelii","Callipepla gambelii",NA,NA,"Callipepla_gambelii",NA,5,0.905660377358491
"Cyrtonyx_montezumae_22728212.shp","Cyrtonyx_montezumae","Cyrtonyx montezumae",2960,"Montezuma Quail","Odontophoridae","Cyrtonyx","montezumae","Cyrtonyx montezumae",NA,NA,"Cyrtonyx_montezumae",NA,4,0.938461538461538
"Alectoris_chukar_22678691.shp","Alectoris_chukar","Alectoris chukar",2882,"Chukar","Phasianidae","Alectoris","chukar","Alectoris chukar",NA,NA,"Alectoris_chukar",NA,30,0.978783592644979
"Perdix_perdix_22678911.shp","Perdix_perdix","Perdix perdix",2881,"Gray Partridge","Phasianidae","Perdix","perdix","Perdix perdix",NA,NA,"Perdix_perdix",NA,282,0.877710320901995
"Phasianus_colchicus_45100023.shp","Phasianus_colchicus","Phasianus colchicus",3091,"Ring-necked Pheasant","Phasianidae","Phasianus","colchicus","Phasianus colchicus",NA,NA,"Phasianus_colchicus",NA,154,0.941930618401207
"Pavo_cristatus_22679435.shp","Pavo_cristatus","Pavo cristatus",3095,"Indian Peafowl","Phasianidae","Pavo","cristatus","Pavo cristatus",NA,NA,"Pavo_cristatus",NA,4,0.988269794721408
"Bonasa_umbellus_22679500.shp","Bonasa_umbellus","Bonasa umbellus",3000,"Ruffed Grouse","Phasianidae","Bonasa","umbellus","Bonasa umbellus",NA,NA,"Bonasa_umbellus",NA,138,0.873278236914601
"Centrocercus_urophasianus_22679503.shp","Centrocercus_urophasianus","Centrocercus urophasianus",3090,"Greater Sage-Grouse","Phasianidae","Centrocercus","urophasianus","Centrocercus urophasianus",NA,NA,"Centrocercus_urophasianus",NA,19,0.870748299319728
"Centrocercus_minimus_22728472.shp","Centrocercus_minimus","Centrocercus minimus",3089,"Gunnison Sage-Grouse","Phasianidae","Centrocercus","minimus","Centrocercus minimus",NA,NA,"Centrocercus_minimus",NA,0,1
"Falcipennis_canadensis_61204079.shp","Falcipennis_canadensis","Falcipennis canadensis",2980,"Spruce Grouse","Phasianidae","Falcipennis","canadensis","Falcipennis canadensis",NA,NA,"Falcipennis_canadensis",NA,44,0.976254722072315
"Lagopus_lagopus_22679460.shp","Lagopus_lagopus","Lagopus lagopus",3010,"Willow Ptarmigan","Phasianidae","Lagopus","lagopus","Lagopus lagopus",NA,NA,"Lagopus_lagopus",NA,4,0.999496411935037
"Lagopus_muta_22679464.shp","Lagopus_muta","Lagopus muta",3020,"Rock Ptarmigan","Phasianidae","Lagopus","muta","Lagopus muta",NA,NA,"Lagopus_muta",NA,0,1
"Lagopus_leucura_22679473.shp","Lagopus_leucura","Lagopus leucura",3040,"White-tailed Ptarmigan","Phasianidae","Lagopus","leucura","Lagopus leucura",NA,NA,"Lagopus_leucura",NA,5,0.98134328358209
"Dendragapus_obscurus_22734690.shp","Dendragapus_obscurus","Dendragapus obscurus",2970,"Dusky Grouse","Phasianidae","Dendragapus","obscurus","Dendragapus obscurus",NA,NA,"Dendragapus_obscurus",NA,9,0.95609756097561
"Dendragapus_fuliginosus_22734695.shp","Dendragapus_fuliginosus","Dendragapus fuliginosus",2971,"Sooty Grouse","Phasianidae","Dendragapus","fuliginosus","Dendragapus fuliginosus",NA,NA,"Dendragapus_fuliginosus",NA,7,0.9
"Tympanuchus_phasianellus_22679511.shp","Tympanuchus_phasianellus","Tympanuchus phasianellus",3080,"Sharp-tailed Grouse","Phasianidae","Tympanuchus","phasianellus","Tympanuchus phasianellus",NA,NA,"Tympanuchus_phasianellus",NA,48,0.945080091533181
"Tympanuchus_cupido_22679514.shp","Tympanuchus_cupido","Tympanuchus cupido",3050,"Greater Prairie-Chicken","Phasianidae","Tympanuchus","cupido","Tympanuchus cupido",NA,NA,"Tympanuchus_cupido",NA,19,0.577777777777778
"Tympanuchus_pallidicinctus_22679519.shp","Tympanuchus_pallidicinctus","Tympanuchus pallidicinctus",3070,"Lesser Prairie-Chicken","Phasianidae","Tympanuchus","pallidicinctus","Tympanuchus pallidicinctus",NA,NA,"Tympanuchus_pallidicinctus",NA,1,0.666666666666667
"Meleagris_gallopavo_22679525.shp","Meleagris_gallopavo","Meleagris gallopavo",3100,"Wild Turkey","Phasianidae","Meleagris","gallopavo","Meleagris gallopavo",NA,NA,"Meleagris_gallopavo",NA,596,0.608667104399212
"Columba_livia_22690066.shp","Columba_livia","Columba livia",3131,"Rock Pigeon","Columbidae","Columba","livia","Columba livia",NA,NA,"Columba_livia",NA,0,1
"Patagioenas_leucocephala_22690229.shp","Patagioenas_leucocephala","Patagioenas leucocephala",3140,"White-crowned Pigeon","Columbidae","Patagioenas","leucocephala","Patagioenas leucocephala",NA,NA,"Patagioenas_leucocephala",NA,0,1
"Patagioenas_flavirostris_22690296.shp","Patagioenas_flavirostris","Patagioenas flavirostris",3130,"Red-billed Pigeon","Columbidae","Patagioenas","flavirostris","Patagioenas flavirostris",NA,NA,"Patagioenas_flavirostris",NA,0,1
"Patagioenas_fasciata_22725264.shp","Patagioenas_fasciata","Patagioenas fasciata",3120,"Band-tailed Pigeon","Columbidae","Patagioenas","fasciata","Patagioenas fasciata",NA,NA,"Patagioenas_fasciata",NA,34,0.912144702842377
"Streptopelia_roseogrisea_22690515.shp","Streptopelia_roseogrisea","Streptopelia roseogrisea",3152,"African Collared-Dove (a.k.a. Ringed Turtle-Dove)","Columbidae","Streptopelia","roseogrisea","Streptopelia roseogrisea",NA,NA,"Streptopelia_roseogrisea",NA,0,1
"Streptopelia_decaocto_22727811.shp","Streptopelia_decaocto","Streptopelia decaocto",22860,"Eurasian Collared-Dove","Columbidae","Streptopelia","decaocto","Streptopelia decaocto",NA,NA,"Streptopelia_decaocto",NA,0,1
"Columbina_inca_22690762.shp","Columbina_inca","Columbina inca",3210,"Inca Dove","Columbidae","Columbina","inca","Columbina inca",NA,NA,"Columbina_inca",NA,33,0.869565217391304
"Columbina_passerina_22690774.shp","Columbina_passerina","Columbina passerina",3200,"Common Ground-Dove","Columbidae","Columbina","passerina","Columbina passerina",NA,NA,"Columbina_passerina",NA,39,0.937996820349762
"Columbina_talpacoti_22690784.shp","Columbina_talpacoti","Columbina talpacoti",3201,"Ruddy Ground-Dove","Columbidae","Columbina","talpacoti","Columbina talpacoti",NA,NA,"Columbina_talpacoti",NA,0,1
"Leptotila_verreauxi_22690854.shp","Leptotila_verreauxi","Leptotila verreauxi",3180,"White-tipped Dove","Columbidae","Leptotila","verreauxi","Leptotila verreauxi",NA,NA,"Leptotila_verreauxi",NA,2,0.998472116119175
"Zenaida_asiatica_22733956.shp","Zenaida_asiatica","Zenaida asiatica",3190,"White-winged Dove","Columbidae","Zenaida","asiatica","Zenaida asiatica",NA,NA,"Zenaida_asiatica",NA,48,0.867036011080332
"Zenaida_macroura_22690736.shp","Zenaida_macroura","Zenaida macroura",3160,"Mourning Dove","Columbidae","Zenaida","macroura","Zenaida macroura",NA,NA,"Zenaida_macroura",NA,672,0.680608365019011
"Coccyzus_americanus_22684331.shp","Coccyzus_americanus","Coccyzus americanus",3870,"Yellow-billed Cuckoo","Cuculidae","Coccyzus","americanus","Coccyzus americanus",NA,NA,"Coccyzus_americanus",NA,530,0.493307839388145
"Coccyzus_minor_22684337.shp","Coccyzus_minor","Coccyzus minor",3860,"Mangrove Cuckoo","Cuculidae","Coccyzus","minor","Coccyzus minor",NA,NA,"Coccyzus_minor",NA,1,0.98876404494382
"Coccyzus_erythropthalmus_22684328.shp","Coccyzus_erythropthalmus","Coccyzus erythropthalmus",3880,"Black-billed Cuckoo","Cuculidae","Coccyzus","erythropthalmus","Coccyzus erythropthalmus",NA,NA,"Coccyzus_erythropthalmus",NA,246,0.569176882661997
"Geococcyx_californianus_22684458.shp","Geococcyx_californianus","Geococcyx californianus",3850,"Greater Roadrunner","Cuculidae","Geococcyx","californianus","Geococcyx californianus",NA,NA,"Geococcyx_californianus",NA,67,0.765734265734266
"Crotophaga_ani_22684434.shp","Crotophaga_ani","Crotophaga ani",3830,"Smooth-billed Ani","Cuculidae","Crotophaga","ani","Crotophaga ani",NA,NA,"Crotophaga_ani",NA,4,0.99660152931181
"Crotophaga_sulcirostris_22684438.shp","Crotophaga_sulcirostris","Crotophaga sulcirostris",3840,"Groove-billed Ani","Cuculidae","Crotophaga","sulcirostris","Crotophaga sulcirostris",NA,NA,"Crotophaga_sulcirostris",NA,7,0.984749455337691
"Cypseloides_niger_22686440.shp","Cypseloides_niger","Cypseloides niger",4220,"Black Swift","Apodidae","Cypseloides","niger","Cypseloides niger",NA,NA,"Cypseloides_niger",NA,4,0.972222222222222
"Chaetura_pelagica_22686709.shp","Chaetura_pelagica","Chaetura pelagica",4230,"Chimney Swift","Apodidae","Chaetura","pelagica","Chaetura pelagica",NA,NA,"Chaetura_pelagica",NA,300,0.522292993630573
"Chaetura_vauxi_22733935.shp","Chaetura_vauxi","Chaetura vauxi",4240,"Vaux's Swift","Apodidae","Chaetura","vauxi","Chaetura vauxi",NA,NA,"Chaetura_vauxi",NA,17,0.948328267477204
"Aeronautes_saxatalis_22686733.shp","Aeronautes_saxatalis","Aeronautes saxatalis",4250,"White-throated Swift","Apodidae","Aeronautes","saxatalis","Aeronautes saxatalis",NA,NA,"Aeronautes_saxatalis",NA,39,0.93719806763285
"Eugenes_fulgens_22687746.shp","Eugenes_fulgens","Eugenes fulgens",4260,"Magnificent Hummingbird","Trochilidae","Eugenes","fulgens","Eugenes fulgens",NA,NA,"Eugenes_fulgens",NA,14,0.915151515151515
"Lampornis_clemenciae_22687664.shp","Lampornis_clemenciae","Lampornis clemenciae",4270,"Blue-throated Hummingbird","Trochilidae","Lampornis","clemenciae","Lampornis clemenciae",NA,NA,"Lampornis_clemenciae",NA,2,0.977272727272727
"Calothorax_lucifer_22688185.shp","Calothorax_lucifer","Calothorax lucifer",4370,"Lucifer Hummingbird","Trochilidae","Calothorax","lucifer","Calothorax lucifer",NA,NA,"Calothorax_lucifer",NA,4,0.95
"Archilochus_colubris_22688193.shp","Archilochus_colubris","Archilochus colubris",4280,"Ruby-throated Hummingbird","Trochilidae","Archilochus","colubris","Archilochus colubris",NA,NA,"Archilochus_colubris",NA,264,0.513812154696133
"Empidonax_hammondii_22699857.shp","Empidonax_hammondii","Empidonax hammondii",4680,"Hammond's Flycatcher","Tyrannidae","Empidonax","hammondii","Empidonax hammondii",NA,NA,"Empidonax_hammondii",NA,27,0.926027397260274
"Empidonax_wrightii_22699860.shp","Empidonax_wrightii","Empidonax wrightii",4691,"Gray Flycatcher","Tyrannidae","Empidonax","wrightii","Empidonax wrightii",NA,NA,"Empidonax_wrightii",NA,11,0.906779661016949
"Empidonax_oberholseri_22699864.shp","Empidonax_oberholseri","Empidonax oberholseri",4690,"Dusky Flycatcher","Tyrannidae","Empidonax","oberholseri","Empidonax oberholseri",NA,NA,"Empidonax_oberholseri",NA,32,0.895081967213115
"Empidonax_difficilis_22699871.shp","Empidonax_difficilis","Empidonax difficilis",4641,"Pacific-slope Flycatcher","Tyrannidae","Empidonax","difficilis","Empidonax difficilis",NA,NA,"Empidonax_difficilis",NA,10,0.906542056074766
"Empidonax_occidentalis_22699874.shp","Empidonax_occidentalis","Empidonax occidentalis",4640,"Cordilleran Flycatcher","Tyrannidae","Empidonax","occidentalis","Empidonax occidentalis",NA,NA,"Empidonax_occidentalis",NA,110,0.900271985494107
"Empidonax_fulvifrons_22699880.shp","Empidonax_fulvifrons","Empidonax fulvifrons",4700,"Buff-breasted Flycatcher","Tyrannidae","Empidonax","fulvifrons","Empidonax fulvifrons",NA,NA,"Empidonax_fulvifrons",NA,3,0.958904109589041
"Sayornis_nigricans_22699892.shp","Sayornis_nigricans","Sayornis nigricans",4580,"Black Phoebe","Tyrannidae","Sayornis","nigricans","Sayornis nigricans",NA,NA,"Sayornis_nigricans",NA,59,0.967986977753662
"Sayornis_phoebe_22699886.shp","Sayornis_phoebe","Sayornis phoebe",4560,"Eastern Phoebe","Tyrannidae","Sayornis","phoebe","Sayornis phoebe",NA,NA,"Sayornis_phoebe",NA,467,0.678596008258775
"Sayornis_saya_22699889.shp","Sayornis_saya","Sayornis saya",4570,"Say's Phoebe","Tyrannidae","Sayornis","saya","Sayornis saya",NA,NA,"Sayornis_saya",NA,75,0.930619796484736
"Pyrocephalus_rubinus_22699895.shp","Pyrocephalus_rubinus","Pyrocephalus rubinus",4710,"Vermilion Flycatcher","Tyrannidae","Pyrocephalus","rubinus","Pyrocephalus rubinus",NA,NA,"Pyrocephalus_rubinus",NA,20,0.971139971139971
"Myiarchus_tuberculifer_22700399.shp","Myiarchus_tuberculifer","Myiarchus tuberculifer",4550,"Dusky-capped Flycatcher","Tyrannidae","Myiarchus","tuberculifer","Myiarchus tuberculifer",NA,NA,"Myiarchus_tuberculifer",NA,9,0.997927699746719
"Myiarchus_cinerascens_22700427.shp","Myiarchus_cinerascens","Myiarchus cinerascens",4540,"Ash-throated Flycatcher","Tyrannidae","Myiarchus","cinerascens","Myiarchus cinerascens",NA,NA,"Myiarchus_cinerascens",NA,47,0.873315363881402
"Myiarchus_crinitus_22700433.shp","Myiarchus_crinitus","Myiarchus crinitus",4520,"Great Crested Flycatcher","Tyrannidae","Myiarchus","crinitus","Myiarchus crinitus",NA,NA,"Myiarchus_crinitus",NA,281,0.491862567811935
"Myiarchus_tyrannulus_22700436.shp","Myiarchus_tyrannulus","Myiarchus tyrannulus",4530,"Brown-crested Flycatcher","Tyrannidae","Myiarchus","tyrannulus","Myiarchus tyrannulus",NA,NA,"Myiarchus_tyrannulus",NA,31,0.994768815389808
"Pitangus_sulphuratus_22700605.shp","Pitangus_sulphuratus","Pitangus sulphuratus",4490,"Great Kiskadee","Tyrannidae","Pitangus","sulphuratus","Pitangus sulphuratus",NA,NA,"Pitangus_sulphuratus",NA,2,0.998544395924309
"Myiodynastes_luteiventris_22700580.shp","Myiodynastes_luteiventris","Myiodynastes luteiventris",4510,"Sulphur-bellied Flycatcher","Tyrannidae","Myiodynastes","luteiventris","Myiodynastes luteiventris",NA,NA,"Myiodynastes_luteiventris",NA,2,0.991071428571429
"Tyrannus_melancholicus_22700485.shp","Tyrannus_melancholicus","Tyrannus melancholicus",4460,"Tropical Kingbird","Tyrannidae","Tyrannus","melancholicus","Tyrannus melancholicus",NA,NA,"Tyrannus_melancholicus",NA,1,0.999620493358634
"Tyrannus_couchii_22700488.shp","Tyrannus_couchii","Tyrannus couchii",4461,"Couch's Kingbird","Tyrannidae","Tyrannus","couchii","Tyrannus couchii",NA,NA,"Tyrannus_couchii",NA,10,0.814814814814815
"Tyrannus_vociferans_22700491.shp","Tyrannus_vociferans","Tyrannus vociferans",4480,"Cassin's Kingbird","Tyrannidae","Tyrannus","vociferans","Tyrannus vociferans",NA,NA,"Tyrannus_vociferans",NA,25,0.932249322493225
"Tyrannus_crassirostris_22700494.shp","Tyrannus_crassirostris","Tyrannus crassirostris",4451,"Thick-billed Kingbird","Tyrannidae","Tyrannus","crassirostris","Tyrannus crassirostris",NA,NA,"Tyrannus_crassirostris",NA,2,0.974683544303797
"Tyrannus_verticalis_22700497.shp","Tyrannus_verticalis","Tyrannus verticalis",4470,"Western Kingbird","Tyrannidae","Tyrannus","verticalis","Tyrannus verticalis",NA,NA,"Tyrannus_verticalis",NA,103,0.811009174311927
"Tyrannus_tyrannus_22700506.shp","Tyrannus_tyrannus","Tyrannus tyrannus",4440,"Eastern Kingbird","Tyrannidae","Tyrannus","tyrannus","Tyrannus tyrannus",NA,NA,"Tyrannus_tyrannus",NA,320,0.700654817586529
"Tyrannus_dominicensis_22700509.shp","Tyrannus_dominicensis","Tyrannus dominicensis",4450,"Gray Kingbird","Tyrannidae","Tyrannus","dominicensis","Tyrannus dominicensis",NA,NA,"Tyrannus_dominicensis",NA,5,0.98015873015873
"Tyrannus_forficatus_22700500.shp","Tyrannus_forficatus","Tyrannus forficatus",4430,"Scissor-tailed Flycatcher","Tyrannidae","Tyrannus","forficatus","Tyrannus forficatus",NA,NA,"Tyrannus_forficatus",NA,69,0.507142857142857
"Tyrannus_savana_22700503.shp","Tyrannus_savana","Tyrannus savana",4420,"Fork-tailed Flycatcher","Tyrannidae","Tyrannus","savana","Tyrannus savana",NA,NA,"Tyrannus_savana",NA,0,1
"Lanius_ludovicianus_22705042.shp","Lanius_ludovicianus","Lanius ludovicianus",6220,"Loggerhead Shrike","Laniidae","Lanius","ludovicianus","Lanius ludovicianus",NA,NA,"Lanius_ludovicianus",NA,442,0.692628650904033
"Lanius_excubitor_22730627.shp","Lanius_excubitor","Lanius excubitor",6210,"Northern Shrike","Laniidae","Lanius","excubitor","Lanius excubitor",NA,NA,"Lanius_excubitor",NA,0,1
"Vireo_atricapilla_22705159.shp","Vireo_atricapilla","Vireo atricapilla",6300,"Black-capped Vireo","Vireonidae","Vireo","atricapilla","Vireo atricapilla",NA,NA,"Vireo_atricapilla",NA,12,0.538461538461538
"Vireo_griseus_22705188.shp","Vireo_griseus","Vireo griseus",6310,"White-eyed Vireo","Vireonidae","Vireo","griseus","Vireo griseus",NA,NA,"Vireo_griseus",NA,535,0.365361803084223
"Vireo_bellii_22705156.shp","Vireo_bellii","Vireo bellii",6330,"Bell's Vireo","Vireonidae","Vireo","bellii","Vireo bellii",NA,NA,"Vireo_bellii",NA,215,0.599627560521415
"Vireo_vicinior_22705209.shp","Vireo_vicinior","Vireo vicinior",6340,"Gray Vireo","Vireonidae","Vireo","vicinior","Vireo vicinior",NA,NA,"Vireo_vicinior",NA,5,0.909090909090909
"Vireo_huttoni_22705182.shp","Vireo_huttoni","Vireo huttoni",6320,"Hutton's Vireo","Vireonidae","Vireo","huttoni","Vireo huttoni",NA,NA,"Vireo_huttoni",NA,9,0.923728813559322
"Vireo_flavifrons_22705237.shp","Vireo_flavifrons","Vireo flavifrons",6280,"Yellow-throated Vireo","Vireonidae","Vireo","flavifrons","Vireo flavifrons",NA,NA,"Vireo_flavifrons",NA,217,0.336391437308869
"Vireo_cassinii_22705231.shp","Vireo_cassinii","Vireo cassinii",6291,"Cassin's Vireo","Vireonidae","Vireo","cassinii","Vireo cassinii",NA,NA,"Vireo_cassinii",NA,20,0.933774834437086
"Vireo_solitarius_22705234.shp","Vireo_solitarius","Vireo solitarius",6290,"Blue-headed Vireo","Vireonidae","Vireo","solitarius","Vireo solitarius",NA,NA,"Vireo_solitarius",NA,60,0.861431870669746
"Vireo_plumbeus_22705228.shp","Vireo_plumbeus","Vireo plumbeus",6292,"Plumbeous Vireo","Vireonidae","Vireo","plumbeus","Vireo plumbeus",NA,NA,"Vireo_plumbeus",NA,32,0.854545454545454
"Vireo_philadelphicus_22705240.shp","Vireo_philadelphicus","Vireo philadelphicus",6260,"Philadelphia Vireo","Vireonidae","Vireo","philadelphicus","Vireo philadelphicus",NA,NA,"Vireo_philadelphicus",NA,24,0.932773109243697
"Vireo_gilvus_22735122.shp","Vireo_gilvus","Vireo gilvus",6270,"Warbling Vireo","Vireonidae","Vireo","gilvus","Vireo gilvus",NA,NA,"Vireo_gilvus",NA,283,0.720907297830375
"Vireo_olivaceus_22705243.shp","Vireo_olivaceus","Vireo olivaceus",6240,"Red-eyed Vireo","Vireonidae","Vireo","olivaceus","Vireo olivaceus",NA,NA,"Vireo_olivaceus",NA,652,0.749519784863619
"Vireo_altiloquus_22705254.shp","Vireo_altiloquus","Vireo altiloquus",6230,"Black-whiskered Vireo","Vireonidae","Vireo","altiloquus","Vireo altiloquus",NA,NA,"Vireo_altiloquus",NA,0,1
"Perisoreus_canadensis_22705783.shp","Perisoreus_canadensis","Perisoreus canadensis",4840,"Gray Jay","Corvidae","Perisoreus","canadensis","Perisoreus canadensis",NA,NA,"Perisoreus_canadensis",NA,39,0.981222917669716
"Cyanocorax_yncas_22705738.shp","Cyanocorax_yncas","Cyanocorax yncas",4830,"Green Jay","Corvidae","Cyanocorax","yncas","Cyanocorax yncas",NA,NA,"Cyanocorax_yncas",NA,4,0.972602739726027
"Gymnorhinus_cyanocephalus_22705608.shp","Gymnorhinus_cyanocephalus","Gymnorhinus cyanocephalus",4920,"Pinyon Jay","Corvidae","Gymnorhinus","cyanocephalus","Gymnorhinus cyanocephalus",NA,NA,"Gymnorhinus_cyanocephalus",NA,16,0.880597014925373
"Cyanocitta_stelleri_22705614.shp","Cyanocitta_stelleri","Cyanocitta stelleri",4780,"Steller's Jay","Corvidae","Cyanocitta","stelleri","Cyanocitta stelleri",NA,NA,"Cyanocitta_stelleri",NA,33,0.914285714285714
"Cyanocitta_cristata_22705611.shp","Cyanocitta_cristata","Cyanocitta cristata",4770,"Blue Jay","Corvidae","Cyanocitta","cristata","Cyanocitta cristata",NA,NA,"Cyanocitta_cristata",NA,312,0.665236051502146
"Aphelocoma_coerulescens_22705629.shp","Aphelocoma_coerulescens","Aphelocoma coerulescens",4790,"Florida Scrub-Jay","Corvidae","Aphelocoma","coerulescens","Aphelocoma coerulescens",NA,NA,"Aphelocoma_coerulescens",NA,1,0
"Aphelocoma_insularis_22705617.shp","Aphelocoma_insularis","Aphelocoma insularis",4811,"Island Scrub-Jay","Corvidae","Aphelocoma","insularis","Aphelocoma insularis",NA,NA,"Aphelocoma_insularis",NA,0,NA
"Aphelocoma_californica_22705623.shp","Aphelocoma_californica","Aphelocoma californica",4812,"California Scrub-Jay","Corvidae","Aphelocoma","californica","Aphelocoma californica",NA,NA,"Aphelocoma_californica",NA,25,0.892241379310345
